courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
10007871,0,2100076038245615330,121.631349,39.136891,PICKUP,1581811044.97947
10012191,0,2100076023461152334,121.53608500000001,39.179454,PICKUP,1581811044.97947
10021791,4,2100076080471213445,121.44642900000001,39.206031,PICKUP,1581967363.337069
10038649,2,2100076046992737831,121.369199,39.302212,PICKUP,1581967363.337069
10038649,4,2100076075175315447,121.35658799999999,39.289502,PICKUP,1581967363.337069
10038653,0,2100076028422751771,121.361231,39.29226,PICKUP,1581978827.3267608
10043801,0,2100076027921171812,121.44918700000001,39.115497,PICKUP,1581858106.734181
10053442,0,2100076024914511693,121.46021599999999,39.251209,PICKUP,1581848960.1848555
10063068,0,2100076034037646396,121.479348,39.065138,DELIVERY,1581829848.4681225
10081729,0,2100076023913514875,121.532201,39.153476,DELIVERY,1581832613.4154716
10081729,2,2100076068694230056,121.545915,39.151717,DELIVERY,1581832613.4154716
10097074,2,2100076039769261308,121.311085,39.131617999999996,DELIVERY,1581866137.611813
10097074,4,2100076063022647159,121.30346399999999,39.12883,PICKUP,1581882405.4034433
10102738,4,2100076062312466289,121.224623,39.123712,PICKUP,1581955635.676429
10102738,6,2100076071891141650,121.240078,39.121635999999995,PICKUP,1581955635.676429
10112683,0,2100076035615065874,121.460479,38.990228,PICKUP,1581973117.680116
10112683,4,2100076078899397857,121.446395,38.98279,PICKUP,1581973117.680116
10120267,4,2100076058065733244,121.428848,39.197722999999996,PICKUP,1581945396.0857406
10123801,0,2100076031775376804,121.466862,39.095094,PICKUP,1581925569.292904
10123801,2,2100076048830825971,121.46691100000001,39.095076,PICKUP,1581925569.292904
10126649,0,2100076019400115638,121.687531,39.140767,DELIVERY,1581785700.2773635
10126649,2,2100076032228165046,121.687448,39.140839,PICKUP,1581894868.728848
10127695,0,2100076024451401602,121.59061799999999,39.126034999999995,PICKUP,1581894868.728848
10138087,0,2100076030099260907,121.423426,39.195589,PICKUP,1581944041.956293
10161032,0,2100076030772643626,121.22353999999999,39.129315999999996,DELIVERY,1581857456.0584824
